source_group,targets,exact_member_unique,exact_member_ambiguous,non_exact_member_unique,non_exact_member_multiple,absent_from_all_pcaps,unsupported_or_malformed,unaligned_pct
processed/iotsim-air-quality-1.csv,24109,24109,0,0,0,0,0,0.0
processed/iotsim-building-monitor-1.csv,101282,89014,0,0,0,12268,0,12.113
processed/iotsim-building-monitor-2.csv,1690,1690,0,0,0,0,0,0.0
processed/iotsim-building-monitor-3.csv,914,914,0,0,0,0,0,0.0
processed/iotsim-city-power-1.csv,160,120,0,0,0,40,0,25.0
processed/iotsim-combined-cycle-1.csv,2357,1983,0,0,0,374,0,15.868
processed/iotsim-combined-cycle-10.csv,3168,3164,0,0,0,4,0,0.126
processed/iotsim-combined-cycle-tls-3.csv,270,256,0,0,0,14,0,5.185
processed/iotsim-combined-cycle-tls-4.csv,270,252,0,0,0,18,0,6.667
processed/iotsim-combined-cycle-tls-5.csv,269,252,0,0,0,17,0,6.32
processed/iotsim-cooler-motor-5.csv,3191,3191,0,0,0,0,0,0.0
processed/iotsim-cooler-motor-6.csv,1306,1306,0,0,0,0,0,0.0
processed/iotsim-cooler-motor-7.csv,1306,1306,0,0,0,0,0,0.0
processed/iotsim-cooler-motor-8.csv,292,292,0,0,0,0,0,0.0
processed/iotsim-cooler-motor-9.csv,96,96,0,0,0,0,0,0.0
processed/iotsim-domotic-monitor-1.csv,3000,2606,0,0,0,394,0,13.133
processed/iotsim-hydraulic-system-1.csv,1353,0,0,1353,0,0,0,100.0
processed/iotsim-hydraulic-system-10.csv,869,869,0,0,0,0,0,0.0
processed/iotsim-hydraulic-system-11.csv,856,856,0,0,0,0,0,0.0
processed/iotsim-hydraulic-system-12.csv,601,601,0,0,0,0,0,0.0
processed/iotsim-hydraulic-system-13.csv,597,597,0,0,0,0,0,0.0
processed/iotsim-hydraulic-system-14.csv,598,598,0,0,0,0,0,0.0
processed/iotsim-hydraulic-system-15.csv,601,601,0,0,0,0,0,0.0
processed/iotsim-hydraulic-system-2.csv,603,603,0,0,0,0,0,0.0
processed/iotsim-ip-camera-museum-1.csv,255,219,0,0,0,36,0,14.118
processed/iotsim-ip-camera-museum-2.csv,54950,54950,0,0,0,0,0,0.0
processed/iotsim-ip-camera-street-1.csv,110104,94764,0,0,0,15340,0,13.932
processed/iotsim-ip-camera-street-2.csv,3000,3000,0,0,0,0,0,0.0
processed/iotsim-stream-consumer-1.csv,4000,4000,0,0,0,0,0,0.0
processed/iotsim-stream-consumer-2.csv,3000,3000,0,0,0,0,0,0.0
